Q153224 : 0.01536
Q374024 : 0.01146
Q315414 : 0.01083
Q570859 : 0.01004
Q28359975 : 0.00941
Q925405 : 0.00918
Q726403 : 0.00846
Q65196 : 0.00767
Q206012 : 0.00714
Q325696 : 0.00694
Q931398 : 0.00691
Q958015 : 0.00587
Q102119812 : 0.00523
Q158465 : 0.00522
Q167997 : 0.00513
Q115650 : 0.00495
Q107441 : 0.00473
Q487778 : 0.00455
Q12170089 : 0.00448
Q21099263 : 0.00446
Q1384963 : 0.00398
Q1667121 : 0.00385
Q929950 : 0.00377
Q710920 : 0.00371
Q157642 : 0.00357
Q707137 : 0.00356
Q17386353 : 0.00355
Q176659 : 0.00354
Q1232555 : 0.00339
Q893737 : 0.00339
Q323337 : 0.00334
Q950211 : 0.00321
Q102603401 : 0.00316
Q2624201 : 0.00315
Q2604125 : 0.00305
Q1384632 : 0.00305
Q716017 : 0.00295
Q102118832 : 0.00283
Q2097758 : 0.00281
Q4226696 : 0.00277
Q23449308 : 0.00277
Q102119110 : 0.00253
Q7449212 : 0.00238
Q4374163 : 0.00234
Q451319 : 0.00233
Q983365 : 0.00233
Q102274695 : 0.00228
Q7453591 : 0.00225
Q102123337 : 0.00225
Q1384966 : 0.0022
Q501707 : 0.00219
Q1509195 : 0.00217
Q1356831 : 0.00214
Q102119808 : 0.00213
Q333975 : 0.00206
Q982580 : 0.00205
Q102115010 : 0.00204
Q1083950 : 0.00203
Q619900 : 0.00202
Q1386199 : 0.00197
Q723638 : 0.00194
Q950897 : 0.00189
Q4058205 : 0.00188
Q4080213 : 0.00186
Q15074987 : 0.00184
Q18740561 : 0.00183
Q4302568 : 0.0018
Q102213412 : 0.00179
Q57103 : 0.00179
Q355892 : 0.00172
Q4123491 : 0.00169
Q102118418 : 0.00167
Q16062135 : 0.00165
Q487620 : 0.00165
Q4233543 : 0.00163
Q7413044 : 0.00161
Q102273393 : 0.0016
Q372026 : 0.00157
Q573921 : 0.00155
Q559188 : 0.00155
Q84492940 : 0.00152
Q102302967 : 0.00152
Q2587134 : 0.00147
Q457680 : 0.00146
Q3710067 : 0.00146
Q934314 : 0.00141
Q102305787 : 0.0014
Q102399447 : 0.0014
Q4153600 : 0.0014
Q1030228 : 0.00139
Q3710025 : 0.00138
Q102121797 : 0.00137
Q1235148 : 0.00136
Q4400066 : 0.00134
Q454925 : 0.00134
Q318067 : 0.00133
Q4104490 : 0.00132
Q268869 : 0.00132
Q4261209 : 0.0013
Q129199 : 0.00128
Q4190178 : 0.00126
Q19948561 : 0.00124
Q34458 : 0.00123
Q19513859 : 0.00122
Q15078974 : 0.00121
Q23371371 : 0.00121
Q23652715 : 0.00121
Q246773 : 0.00121
Q4235704 : 0.00121
Q102274697 : 0.0012
Q246497 : 0.00111
Q450269 : 0.0011
Q1702987 : 0.00109
Q2450566 : 0.00108
Q15430455 : 0.00107
Q2008444 : 0.00102
Q381315 : 0.00101
Q102278323 : 0.00101
Q102646716 : 0.00101
Q23370710 : 0.00101
Q553209 : 0.00099
Q2570080 : 0.00098
Q3710069 : 0.00097
Q16942884 : 0.00096
Q16054696 : 0.00096
Q2271209 : 0.00094
Q102105333 : 0.00093
Q2031915 : 0.00092
Q2603369 : 0.00092
Q271956 : 0.00092
Q383045 : 0.00092
Q2074389 : 0.00091
Q176176 : 0.0009
Q302590 : 0.00089
Q64590556 : 0.00088
Q21092009 : 0.00087
Q70818 : 0.00087
Q4199550 : 0.00086
Q102124549 : 0.00086
Q4519313 : 0.00084
Q4240018 : 0.00084
Q470539 : 0.00084
Q893804 : 0.00084
Q1990696 : 0.00083
